gene_id	gene_symbol	description	scientific_name	common_name	tax_id	genomic_range	orientation	location	gene_type	transcript_accession	transcript_name	transcript_length	transcript_cds_coords	protein_accession	isoform_name	protein_length	protein_name
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NR_170697.1	transcript variant 106	5619					
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NR_164857.1	transcript variant 44	5637					
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NR_164858.1	transcript variant 45	5634					
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NR_164861.1	transcript variant 47	5719					
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NR_164860.1	transcript variant 46	5598					
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NR_170700.1	transcript variant 108	5434					
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NR_170698.1	transcript variant 107	5580					
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NR_170696.1	transcript variant 105	5326					
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NR_164864.1	transcript variant 50	4581					
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	XR_007095679.1	transcript variant X3	2336					
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NR_164862.1	transcript variant 48	5732					
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NR_170703.1	transcript variant 111	5796					
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NR_170702.1	transcript variant 110	5675					
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NR_164865.1	transcript variant 51	5778					
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NR_164863.1	transcript variant 49	5678					
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NR_170701.1	transcript variant 109	5628					
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NM_001376819.1	transcript variant 11	5920	NM_001376819.1:1211-2506	NP_001363748.1	isoform 10	431	muscleblind-like protein 1
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NM_001387781.1	transcript variant 114	5866	NM_001387781.1:1211-2452	NP_001374710.1	isoform 23	413	muscleblind-like protein 1
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NM_001387785.1	transcript variant 55	5827	NM_001387785.1:1211-2413	NP_001374714.1	isoform 11	400	muscleblind-like protein 1
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	XM_047448138.1	transcript variant X7	5732	XM_047448138.1:1211-2293	XP_047304094.1	isoform X5	360	muscleblind-like protein 1
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	XM_047448135.1	transcript variant X4	5791	XM_047448135.1:1211-2377	XP_047304091.1	isoform X3	388	muscleblind-like protein 1
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NM_001376826.1	transcript variant 18	5773	NM_001376826.1:1211-2359	NP_001363755.1	isoform 1	382	muscleblind-like protein 1
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NM_001387792.1	transcript variant 62	5678	NM_001387792.1:1211-2239	NP_001374721.1	isoform 7	342	muscleblind-like protein 1
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	XM_047448136.1	transcript variant X5	5737	XM_047448136.1:1211-2323	XP_047304092.1	isoform X4	370	muscleblind-like protein 1
4154	MBNL1	muscleblind like splicing regulator 1	Homo sapiens	human	9606	NC_000003.12:152243632-152465780;NC_060927.1:155011321-155233681	+;+	chr 3	PROTEIN_CODING	NM_001387788.1	transcript variant 58	5668	NM_001387788.1:1211-2254	NP_001374717.1	isoform 25	347	muscleblind-like protein 1
